,msd_track_id,genre,album_index,set,msd_artist_id,image_url
0,TRABKJU128F422A7FE,Metal,0,train,ARBD4QW1187FB42153,http://artwork-cdn.7static.com/static/img/sleeveart/00/008/487/0000848744_200.jpg
1,TRBLDQQ128F92E58B4,Rock,1,train,AR3RK011187FB3CE3B,http://artwork-cdn.7static.com/static/img/sleeveart/00/004/765/0000476534_200.jpg
2,TRDMMDE128F14A9052,Rock,2,train,ARJVTRE1187B9959C0,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/623/0000062345_200.jpg
3,TRJOPZB128F4250E02,Rock,4,train,AR62BB21187B9AC83D,http://artwork-cdn.7static.com/static/img/sleeveart/00/001/447/0000144785_200.jpg
4,TRJKBVL128F935567B,Rock,5,train,AR7GVOV1187B9B5FF1,http://artwork-cdn.7static.com/static/img/sleeveart/00/005/205/0000520513_200.jpg
5,TRUSOQD128F92CFEA5,Rock,7,train,ARZHQDD1187FB5B871,http://artwork-cdn.7static.com/static/img/sleeveart/00/003/188/0000318842_200.jpg
6,TRKCEWE128F425BF56,Rock,9,train,ARRSEGJ1187B9A67D9,http://artwork-cdn.7static.com/static/img/sleeveart/00/002/780/0000278069_200.jpg
7,TRRCUNU128F932C084,Reggae,10,train,ARDI8UK1187FB369FB,http://artwork-cdn.7static.com/static/img/sleeveart/00/003/642/0000364214_200.jpg
8,TRRNTLC128F93366F6,Rock,11,train,ARTNHBW1187B9A5482,http://artwork-cdn.7static.com/static/img/sleeveart/00/005/495/0000549518_200.jpg
9,TRSEIMP12903CE2A6B,Reggae,12,train,ARP06GY1187B98B0F0,http://artwork-cdn.7static.com/static/img/sleeveart/00/007/737/0000773743_200.jpg
10,TRHDZSB128F429112F,Metal,13,train,ARZN98V1187B990D1D,http://artwork-cdn.7static.com/static/img/sleeveart/00/008/487/0000848765_200.jpg
11,TRYDOAY128E0794924,Rock,14,train,ARKL75U1187FB5B8B6,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/163/0000016309_200.jpg
12,TRAQKWU128F4251685,Rock,16,train,ARYMCJZ1187FB513DA,http://artwork-cdn.7static.com/static/img/sleeveart/00/002/433/0000243393_200.jpg
13,TRLCUUF128E078F97F,Reggae,17,train,ARHMCWM1187FB37D67,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/145/0000014566_200.jpg
14,TREXUGD128F1460F54,Rock,18,train,AR00RBU1187B9B3F1F,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/258/0000025870_200.jpg
15,TRCQSDA128F92F5275,Reggae,19,train,ARJYO8S1187B9A9209,http://artwork-cdn.7static.com/static/img/sleeveart/00/006/116/0000611664_200.jpg
16,TRAKPET128F92E3F65,Rock,20,train,AR61QQL1187FB3A48E,http://artwork-cdn.7static.com/static/img/sleeveart/00/010/137/0001013701_200.jpg
17,TREWKPU128F92E9B1C,Jazz,22,train,ARF5FI71187FB4B9AE,http://artwork-cdn.7static.com/static/img/sleeveart/00/005/251/0000525161_200.jpg
18,TRJEAXC128F4252190,Latin,23,train,ARLAWDD1187FB48367,http://artwork-cdn.7static.com/static/img/sleeveart/00/002/755/0000275516_200.jpg
